codeInsee,CodePostal,NomOrganisme,NomCommune,Email,Téléphone,Url,Adresse,Latitude,Longitude,dateMiseAJour
77329,77710,Mairie de Nanteau-sur-Lunain,Nanteau-sur-Lunain,mairie.nanteau@wanadoo.fr,01 64 29 00 20,http://www.nanteau-sur-lunain.fr,50 rue de Lorrez-le-Bocage,48.2533988953,2.8283200264,2017-05-10
28337,28190,Mairie de Saint-Georges-sur-Eure,Saint-Georges-sur-Eure,mairie.st-georges-sur-eure@orange.fr,02 37 26 74 16,http://www.saint-georges-sur-eure.fr,16 rue Jean-Moulin,48.417098999,1.35614001751,2017-05-10
74139,74420,Mairie de Habère-Lullin,Habère-Lullin,accueil@habere-lullin.fr,04 50 39 50 85,http://www.habere-lullin.fr,280 route Vieille,46.235631,6.453381,2016-12-16
31534,31460,Mairie de Saussens,Saussens,mairie.saussens@orange.fr,05 61 83 83 47,"",Le Village,43.5886001587,1.72135102749,2017-10-09
54532,54385,Mairie de Tremblecourt,Tremblecourt,mairietremblecourt@ozone.net,03 83 23 17 28,http://www.tremblecourt.fr,8 rue de la Mairie,"","",2017-10-20
24446,24540,Mairie de Saint-Marcory,Saint-Marcory,mairie.saintmarcory@orange.fr,+33 5 53 22 66 13,http://www.pays-de-bergerac.com,Le Bourg,44.722717,0.930613,2015-02-10
16087,16350,Mairie de Chassiecq,Chassiecq,mairie-chassiecq@wanadoo.fr,+33 5 45 31 94 20,"",Le Bourg,45.9538230896,0.37906101346,2014-12-29
32409,32140,Mairie de Samaran,Samaran,mairie.samaran@orange.fr,+33 5 62 66 18 52,"",Mairie,43.391040802,0.518652975559,2014-10-27
47081,47110,Mairie de Dolmayrac,Dolmayrac,mairiedolmayrac@orange.fr,05 53 01 03 56,"",Place de la Tour,44.361817,0.591321,2017-06-26
77450,77170,Mairie de Servon,Servon,mairie.servon@wanadoo.fr,01 64 05 10 23,http://www.servon.fr,15 rue de la Poste,48.7159996033,2.58796000481,2017-05-10
23172,23190,Mairie de La Serre-Bussière-Vieille,La Serre-Bussière-Vieille,mairie.laserrebussierevieille@wanadoo.fr,05 55 83 13 09,"",Le Bourg,46.0556564331,2.32140803337,2017-03-31
62169,62380,Mairie de Bouvelinghem,Bouvelinghem,mairedebouvelinghem@wanadoo.fr,+33 3 21 39 61 40,"","45, rue du 8e-de-Ligne",50.7342048,2.0341603,2014-10-29
10044,10500,Mairie de Bétignicourt,Betignicourt,"","","",3 rue Féréol,48.446169,4.455066,2017-07-03
54505,54550,Mairie de Sexey-aux-Forges,Sexey-aux-Forges,mairie@sexeyauxforges.fr,03 83 47 32 03,http://www.sexeyauxforges.fr,8 bis rue du Lieutenant-Excoffier,48.6227874756,6.04710006714,2017-06-13
69268,69390,Mairie de Vourles,Vourles,commune-de-vourles@wanadoo.fr,04 78 05 12 05,http://www.vourles.fr,26 rue Bertrange-Imeldange,45.6604995728,4.77499008179,2016-12-16
11106,11110,Mairie de Coursan,Coursan,mairie@coursan.fr,04 68 46 61 61,http://www.coursan.fr,Hôtel de Ville,43.234500885,3.05721998215,2017-07-10
02827,02250,Mairie de Voyenne,Voyenne,communevoyenne02@wanadoo.fr,+33 3 23 20 68 43,"","5, rue de l'Église",49.7047996521,3.68605995178,2014-12-18
65180,65240,Mairie de Fréchet Aure,FRECHET AURE,"",+33 5 62 40 17 64,"",village,42.9318122864,0.371686011553,2006-08-31
52033,52140,Mairie d'Avrecourt,Avrecourt,mairie3@orange.fr,+33 3 25 88 05 53,"",Place de la Mairie,47.962553,5.538271,2013-01-03
69072,69574,Mairie de Dardilly,Dardilly Cedex,contact@mairie-dardilly.fr,04 78 66 14 50,http://www.dardilly.fr,1 place Bayère,45.8063011169,4.75368022919,2016-12-16
13118,13111,Mairie de Coudoux,Coudoux,secretariat-maire@coudoux.fr,04 42 52 07 07,http://www.coudoux.fr,Place Jean-Lapierre,43.5587272644,5.24983501434,2017-07-10
80752,80440,Mairie de Thézy-Glimont,Thézy-Glimont,mairie.thezy-glimont@amiens-metropole.com,03 22 34 01 47,http://www.ville-thezyglimont.fr,3 rue de l'Église,49.8010787964,2.39143896103,2016-11-14
81099,81600,Mairie de Gaillac,Gaillac,secretariats@ville-gaillac.fr,05 63 81 20 20,http://www.ville-gaillac.fr,70 place de Hautpoul,43.9016476,1.8965633,2017-10-09
32458,32110,Mairie d'Urgosse,Urgosse,mairie.urgosse@wanadoo.fr,05 62 09 18 86,"",Mairie,43.736211,-0.024039,2017-10-09
11234,11400,Mairie de Mireval-Lauragais,Mireval-Lauragais,mairie@mireval-lauragais.fr,04 68 23 09 76,"",1 place Saint-Jean,43.509146,3.80455,2017-07-10
81224,81170,Mairie du Riols,Le Riols,mairie.leriols@wanadoo.fr,05 63 65 43 29,"",Le Bourg,44.151547,1.911406,2017-10-09
89397,89110,Mairie de Sommecaise,Sommecaise,mairie.sommecaise@orange.fr,03 86 73 64 14,http://www.sommecaise.fr,9 Grande rue,47.8490969,3.2313427,2017-04-21
80236,80500,Mairie de Davenescourt,Davenescourt,mairie.davenescourt@orange.fr,+33 3 22 37 11 15,"",16 Grande rue,49.7102012634,2.59749007225,2015-07-08
88293,88630,Mairie de Maxey-sur-Meuse,Maxey-sur-Meuse,mairie-maxeysurmeuse@orange.fr,03 29 06 99 18,"",23 Grande rue,48.4105987549,5.6825799942,2017-06-13
31085,31440,Mairie de Boutx,Boutx,mairie.boutx@wanadoo.fr,05 61 79 40 81,"",Place de la Mairie,42.9188995361,0.717880010605,2017-10-09
89131,89740,Mairie de Cruzy-le-Châtel,Cruzy-le-Châtel,mairie-cruzy-le-chatel@wanadoo.fr,03 86 75 23 83,http://www.cruzylechatel.fr,1 rue des Tilleuls,47.8566017151,4.21603012085,2017-04-21
76296,76700,Mairie de Gainneville,Gainneville,accueil@gainneville.fr,02 32 79 59 59,http://www.gainneville.fr,Place du 8-Mai-1945,49.5175361633,0.264607012272,2016-12-16
44032,44330,Mairie de La Chapelle-Heulin,La Chapelle-Heulin,accueil@mairie-lachapelleheulin.fr,02 40 06 74 05,http://www.mairie-lachapelleheulin.fr,27 rue Aristide-Briand,47.1750247,-1.3422434,2016-08-08
2A091,20123,Mairie de Cognocoli-Monticchi,Cognocoli-Monticchi,mairie.cognocoli@wanadoo.fr,04 95 24 22 95,"",Village,41.8286018372,8.90507984161,2017-05-10
62746,62360,Mairie de Saint-Étienne-au-Mont,Saint-Étienne-au-Mont,mairie@saintetienneaumont.com,03 21 87 32 96,http://www.saintetienneaumont.com,Rue Sené-Porion,50.6811328,1.6247196,2016-08-08
02781,02400,Mairie de Verdilly,Verdilly,verdillymairie@wanadoo.fr,03 23 69 10 11,"",Place de la Mairie,49.0478652,3.4262967,2016-11-14
60584,60340,Mairie de Saint-Leu-d'Esserent,Saint-Leu-d'Esserent,cabinet.maire@saintleudesserent.fr,03 44 56 87 00,http://www.saintleudesserent.fr,14 place de la Mairie,49.2176017761,2.42037010193,2016-11-14
81117,81300,Mairie de Labessière-Candeil,Labessière-Candeil,mairielabessierecandeil@wanadoo.fr,05 63 34 60 89,"",Place de la Mairie,43.85057,1.981076,2017-10-09
77274,77139,Mairie de Marcilly,Marcilly,mairie.marcilly77@laposte.net,01 64 36 66 96,"",1 rue du Louvin,49.0367012024,2.87810993195,2017-05-10
21199,21460,Mairie de Corsaint,Corsaint,mairie.corsaint@ozone.net,03 80 96 72 31,"",1 rue de Ménétreux,47.5389338,4.198226,2017-04-21
74269,74910,Mairie de Seyssel,Seyssel,administration@seyssel74.fr,04 50 59 27 67,"",24 place de l'Orme,45.958782,5.8356418,2016-12-16
33240,33340,Mairie de Lesparre-Médoc,Lesparre-Médoc,contact@mairie-lesparre.fr,05 56 73 21 00,http://www.mairie-lesparre.fr,37 cours du Maréchal-de-Lattre-de-Tassigny,45.305472,-0.9360738,2017-02-21
26217,26190,Mairie de La Motte-Fanjas,La Motte-Fanjas,mairie.la-motte-fanjas@wanadoo.fr,+33 4 75 48 42 92,"",1 place de l’Église,45.0183518,5.2929316,2015-07-08
62821,62830,Mairie de Tingry,Tingry,commune.tingry@orange.fr,03 21 83 02 15,"",115 rue de la Mairie,50.6189111,1.731623,2016-08-08
60012,60570,Mairie d'Andeville,Andeville,mairie-andeville@wanadoo.fr,03 44 52 08 12,http://www.mairie-andeville.fr,1 rue Jean-Jaurès,49.2589988708,2.16592001915,2016-11-14
62322,62760,Mairie de Famechon,Famechon,"",03 21 22 17 13,"",20 rue Principale,50.142921,2.468515,2017-08-07
35172,35270,Mairie de Meillac,Meillac,mairie.meillac@orange.fr,02 99 73 02 25,http://www.meillac.fr,1 place de la Mairie,48.4115943909,-1.81163799763,2017-02-21
70486,70120,Mairie de Semmadon,Semmadon,mairie.semmadon@wanadoo.fr,03 84 92 15 27,"",12 place de la Fontaine,47.740398407,5.9285697937,2016-11-14
49361,49730,Mairie de Varennes-sur-Loire,Varennes-sur-Loire,mairie-sg.varennes-sur-loire@orange.fr,02 41 51 72 29,http://www.varennessurloire.fr,22 place du Jeu-de-Paume,47.2386817,0.0547017,2016-08-08
81116,81500,Mairie de Labastide-Saint-Georges,Labastide-Saint-Georges,accueil@lsg81.fr,05 63 58 06 13,http://www.lsg81.fr,Place de la Paix,43.7011,1.8453,2017-10-09
57002,57590,Mairie d'Aboncourt-sur-Seille,Aboncourt-sur-Seille,mrlemaire.aboncourtsurseille@sfr.fr,03 87 86 87 26,"",1 rue de l'Église,48.8163875301,6.34065628052,2017-06-13
73312,73460,Mairie de Verrens-Arvey,Verrens-Arvey,mairie.verrens@orange.fr,+33 4 79 31 43 26,http://www.verrens-arvey.fr,"22, route des Collets",45.6527175903,6.31534385681,2014-12-04
62427,62110,Mairie de Hénin-Beaumont,Hénin-Beaumont,contact@mairie-heninbeaumont.fr,+33 3 21 74 87 00,http://www.mairie-heninbeaumont.fr,1 place Jean-Jaurès,50.4198760986,2.94727706909,2015-08-12
25372,25250,Mairie de Médière,Médière,mairie.mediere@orange.fr,03 81 92 81 70,"",40 route de Montbéliard,47.4557991028,6.60010004044,2016-11-14
14657,14670,Mairie de Saint-Samson,Saint-Samson,mairie.de.st-samson@wanadoo.fr,02 31 39 10 45,"",Rue de l'Église,49.1987991333,-0.171618998051,2017-04-21
89365,89220,Mairie de Saint-Privé,Saint-Privé,mairiesaintprive@wanadoo.fr,03 86 74 90 24,http://www.saintprive89.com,24 rue de la Puisaye,47.6839837,3.0013478,2017-04-21
01429,01660,Mairie de Vandeins,Vandeins,vandeins@bourgenbresse-agglomeration.fr,04 74 30 25 13,http://www.vandeins.fr,27 rue de la Mairie,46.2025985718,5.02498006821,2016-12-16
34008,34600,Mairie des Aires,Les Aires,mairie.lesaires@yahoo.fr,04 67 95 61 44,http://www.lesaireslevillage.fr,Le Village,43.5825048169,3.10363769531,2017-07-10
51045,51270,Mairie de Beaunay,Beaunay,mairie.beaunay@orange.fr,03 26 59 00 95,"",12 rue Principale,48.8862686157,3.87559008598,2017-07-10
67471,67460,Mairie de Souffelweyersheim,Souffelweyersheim,mairie@souffelweyersheim.fr,03 88 20 00 12,http://www.souffelweyersheim.fr,1 place du Général-de-Gaulle,48.6352005005,7.74158000946,2017-03-31
68034,68480,Mairie de Bettlach,Bettlach,bettlach@wanadoo.fr,03 89 40 70 02,http://www.bettlach.fr,52 rue de Bâle,47.5494003296,7.4127202034,2017-03-31
60327,60240,Mairie de Jouy-sous-Thelle,Jouy-sous-Thelle,mairie.jouysousthelle@wanadoo.fr,03 44 47 52 22,http://www.jouysousthelle.fr,21 rue Saint-Michel,49.3180999756,1.97098004818,2016-11-14
14754,14640,Mairie de Villers-sur-Mer,Villers-sur-Mer,mairie@villers.fr,02 31 14 65 00,http://www.mairie-villers-sur-mer.fr,7 rue du Général-de-Gaulle,49.3237991333,-0.00533000007272,2017-04-21
89313,89116,Mairie de Précy-sur-Vrin,Précy-sur-Vrin,mairie-precy-sur-vrin@wanadoo.fr,03 86 73 41 68,"",6 rue du Presbytère,47.9739990234,3.29048991203,2017-04-21
08031,08400,Mairie d'Aure,Aure,auremairie@west-telecom.com,03 24 71 64 02,"",Rue Haute,49.2746732,4.6312969,2017-07-10
16218,16370,Mairie de Mesnac,Mesnac,commune.mesnac@wanadoo.fr,05 45 83 26 74,http://www.mesnac.fr,Vignolles,45.7769012451,-0.342507004738,2016-08-08
80030,80120,Mairie d'Arry,Arry,mairie.arry@orange.fr,+33 3 22 25 68 55,http://www.arry-picardie.com,28 rue Joseph-Harent,50.2753601074,1.71928703785,2015-07-08
12147,12360,Mairie de Montagnol,Montagnol,mairie.montagnol@wanadoo.fr,05 65 49 59 19,"",Le Bourg,43.8375854492,3.01343798637,2017-10-09
14753,14420,Mairie de Villers-Canivet,Villers-Canivet,mairie.villers-canivet@wanadoo.fr,02 31 90 80 87,"",12 route de Thury-Harcourt,48.985531,-0.478593,2017-04-21
49171,49150,Mairie de La Lande-Chasles,La Lande-Chasles,lalandechasles@free.fr,+33 2 41 82 74 01,http://lalandechasles.free.fr,Le Bourg,47.470331,-0.066359,2014-12-04
31454,31370,Mairie de Rieumes,Rieumes,accueil@ville-rieumes.fr,05 61 91 80 25,https://www.rieumes.fr,1 place d'Armes,43.4124984741,1.11960995197,2017-10-09
76214,76590,Mairie de Dénestanville,Dénestanville,mairie-sg.denestanville@wanadoo.fr,02 35 83 32 12,"",5 route des Cyclamenes,49.8115038,1.09673410000005,2016-12-16
76676,76780,Mairie de Sigy-en-Bray,Sigy-en-Bray,mairie-sigy-en-bray@wanadoo.fr,02 35 90 74 62,"",59 rue Saint-Martin,49.5458984375,1.48847997189,2016-12-16
62036,62134,Mairie d'Anvin,Anvin,mairie.anvin@orange.fr,03 21 03 56 72,http://www.anvin62134.com,258 rue Hesdin,50.4743995667,2.26750993729,2016-08-08
10417,10160,Mairie de Villemoiron-en-Othe,Villemoiron-en-Othe,mairie.villemoiron@wanadoo.fr,+33 3 25 46 67 91,"",Place de la Mairie,48.2004013062,3.77969002724,2014-07-02
44156,44650,Mairie de Corcoué-sur-Logne,Corcoué-sur-Logne,contact@mairiecorcoue.fr,02 40 05 86 90,http://www.corcoue-sur-logne.fr,11 rue Lejeune,46.9620018005,-1.57427000999,2016-08-08
21686,21500,Mairie de Villaines-les-Prévôtes,Villaines-les-Prévôtes,mairie-villaineslesprevotes@orange.fr,03 80 96 74 55,"",1 place de la Mairie,47.555057,4.308094,2017-04-21
25441,25530,Mairie d'Ouvans,Ouvans,ouvans.mairie@wanadoo.fr,+33 3 81 56 19 07,"",3 route de Landresse,47.276265,6.4835811,2015-07-08
51617,51520,Mairie de La Veuve,La Veuve,mairie.la-veuve@wanadoo.fr,03 26 67 32 76,http://www.laveuve.fr,22 rue de Champagne,48.9901008606,4.3109498024,2017-07-10
74235,74910,Mairie de Saint-Germain-sur-Rhône,Saint-Germain-sur-Rhône,mairie-stgermain@wanadoo.fr,04 50 77 92 92,http://www.saint-germain-sur-rhone.com,337 rue de Beaumont,46.0672367,5.8157245,2016-12-16
24551,24800,Mairie de Thiviers,Thiviers,mairie.thiviers@thiviers.fr,05 53 62 28 00,http://www.thiviers.fr,44 rue Lamy,45.416708,0.9216567,2017-02-21
60072,60350,Mairie de Bitry,Bitry,bitry.mairie@orange.fr,+33 3 44 42 11 39,"",15 rue du Vieux-Moulin,49.4127338,3.0483222,2015-07-08
47281,47270,Mairie de Saint-Urcisse,Saint-Urcisse,mairiesainturcisse@wanadoo.fr,05 53 87 36 44,http://www.saint-urcisse.fr,Le Bourg,44.160403,0.819306999999981,2017-02-21
46226,46270,Mairie de Prendeignes,Prendeignes,prendeignes.mairie@wanadoo.fr,05 65 34 31 59,http://www.prendeignes.fr,Le Bourg,44.6966476,2.090363,2017-10-09
